""	"Impala"	"Hartebeest"	"Wildebeest"	"Sable"	"Waterbuck"	"Oribi"	"Reedbuck"	"Buffalo"	"Nyala"	"Bushbuck"	"Kudu"
"Impala"	0.000197554566505635	7.86400542452533e-05	0.000148410197413929	7.50134654021739e-05	0.00039188900117009	8.59570844452703e-05	0.000191902701092684	0.000156922527463064	6.7489475797538e-05	0.000153557028462195	0.000120359251198049
"Hartebeest"	2.56594334858658e-05	0.000417567903149311	0.000506400702729272	0.000432637141443085	0.000232193498557491	2.7890284097733e-05	9.03171552347712e-05	0.000312014802475588	5.31048799187642e-05	4.56521593772257e-06	4.50910947355023e-06
"Wildebeest"	4.32863075790625e-05	0.000452665961495222	0.00125157302619766	0.000455305137960002	0.000449235371536665	7.11716066748289e-05	0.000239237496511856	0.000264072240652758	7.43183496495235e-05	9.90950367526134e-07	1.48461005072329e-06
"Sable"	1.66590817834777e-05	0.000294464111921288	0.000346679039055839	0.000957840093949298	0.000191814854849103	1.28964082444847e-05	6.32398846589459e-05	0.000551773666327275	3.82517477561482e-05	1.11066748526562e-06	1.55363267206033e-06
"Waterbuck"	0.000100656421533414	0.000182778541672702	0.000395608448515654	0.000221844577721761	0.000400332633002756	6.83633900287664e-05	0.000178877427061038	0.000221143988194361	3.40239753401197e-05	5.86392522608455e-05	6.59949354380123e-06
"Oribi"	0.000262369007754459	0.000260903878565421	0.000744819139620302	0.000177250634243964	0.000812411448946503	0.000189460240159217	0.00044172174625343	0.000346198173445031	3.59096640131983e-05	0.000167837883115773	1.72129093313335e-05
"Reedbuck"	0.000173406055204232	0.000250121003051199	0.000741183293840518	0.00025731340332831	0.000629303719299075	0.000130767883572444	0.000357370627752999	0.000270069923645156	2.50187275211801e-05	0.000105140651501106	3.92250483364608e-07
"Buffalo"	1.42041942962257e-05	8.6557209859176e-05	8.19534539956836e-05	0.000224895335723738	7.7934191701599e-05	1.02665665228526e-05	2.70535561444545e-05	0.0017303485782196	1.24425678711119e-05	6.00446701373448e-06	3.17190244357697e-06
"Nyala"	4.04474598101683e-05	9.75408125448535e-05	0.000152708937636007	0.00010322731928714	7.93892757936126e-05	7.05075594779693e-06	1.65934711070841e-05	8.23822986900102e-05	0.000175237115151122	5.34312234151858e-05	0.000293713495447568
"Bushbuck"	0.000186183464070791	1.69640472143086e-05	4.11942416061672e-06	6.06378276020308e-06	0.000276809772797155	6.66700136164273e-05	0.000141077871875617	8.04293502994457e-05	0.00010809642427645	0.000215427634514821	0.000152119655155854
"Kudu"	3.06591979034332e-05	3.5202121023495e-06	1.29660266438715e-06	1.78204155106774e-06	6.54505812883538e-06	1.43649704269256e-06	1.10576191574399e-07	8.92626597416129e-06	0.000124838923829243	3.19591512287651e-05	0.00125568804254125
