""	"Impala"	"Hartebeest"	"Grevys_zebra"	"Plains_zebra"	"Waterbuck"	"Dik-dik"	"Grants_gazelle"	"Oryx"	"Klipspringer"	"Buffalo"	"Eland"	"Kudu"
"Impala"	0.000176666011893259	9.98189370466799e-05	0.000358136409836875	0.000106622261876014	0.0002494632407637	2.10983860933245e-05	0.000169499764115859	0.000360592428449952	2.83524498959251e-05	0.000399751179012178	0.000851257054853988	0.00046597105815219
"Hartebeest"	3.25698831258589e-05	0.00128949885925767	0.000602179116448382	0.000810780382878078	0.000246990336633552	3.90800804011422e-06	4.24335356088201e-05	0.000261106308842059	1.00232675829924e-05	0.000985708835290087	0.000255294322749675	4.07549190460513e-05
"Grevys_zebra"	4.60837292069509e-05	0.000237477009403296	0.000695014881139328	0.000314606580116448	0.000120599287985104	9.28720961304906e-08	3.79711099677041e-05	0.000198314991205127	4.33461010834006e-07	0.000500759654678001	1.55840934482145e-05	8.22965642740024e-07
"Plains_zebra"	1.98147566318256e-05	0.0004617860658587	0.000454369857300923	0.00054496697501192	0.000121745202854374	5.12514736479081e-07	1.97248995542457e-05	0.000168639008936012	1.38224812407142e-06	0.000636155406711616	2.81869707228497e-05	6.56022772721715e-06
"Waterbuck"	6.4074462524923e-05	0.000194426346205178	0.000240726563101381	0.000168263306293349	0.000424918301498028	1.34681097971971e-05	4.2725755223213e-05	0.000145396325885172	1.124230061016e-05	0.000304035002276368	0.000217041771071912	0.00040505858043874
"Dik-dik"	0.000240796797804247	0.000136695324707474	8.23735113505221e-06	3.14750897946392e-05	0.000598452530988497	6.31539913515808e-05	0.00029309618124939	0.000522370345475001	6.76047666252669e-05	0.000363558818688791	0.0017407197548966	0.00107062996157024
"Grants_gazelle"	0.00016033761470419	0.00012301902485512	0.000279138970573392	0.000100401515749089	0.000157353952569815	2.42926564639134e-05	0.000275153794506154	0.000440977743954781	2.3368895759602e-05	0.000335221882129354	0.000861853642858023	0.000469145588423273
"Oryx"	9.43723952822656e-05	0.000209431730272619	0.000403352524485004	0.000237490129732918	0.000148150593274822	1.1978582199327e-05	0.000122005308023382	0.000455320015868863	2.36734962980842e-05	0.000405069182057696	0.000804169127476051	0.000200779843733941
"Klipspringer"	0.000110259527373042	0.000119462500303961	1.31001549940944e-05	2.89248218555686e-05	0.000170216758867905	2.30356982574984e-05	9.60721270116972e-05	0.000351770619066348	0.000108049416837733	0.000328258502641469	0.00160972653530783	0.000310239654939109
"Buffalo"	3.61843739623092e-05	0.000273449226893405	0.000352258515704525	0.000309851555855227	0.000107146128388431	2.88339752753179e-06	3.20772663072054e-05	0.000140098065380644	7.640499630448e-06	0.000662038196716069	0.000222747931796135	4.00608062539371e-05
"Eland"	7.94365364021229e-05	7.30125427131581e-05	1.1301653264969e-05	1.41536068773641e-05	7.88541379436524e-05	1.4232689073097e-05	8.5021111231106e-05	0.000286733606419651	3.86265699016277e-05	0.000229637043088799	0.00144203956156034	0.000223002486061622
"Kudu"	0.000118697139995099	3.18169164216868e-05	1.62916051546788e-06	8.99206372119769e-06	0.000401717485888784	2.38956711461577e-05	0.000126334692661289	0.000195421817821585	2.03213747776709e-05	0.000112737834193515	0.000608739440360351	0.00106612613086551
