""	"Impala"	"Hartebeest"	"Wildebeest"	"Sable"	"Waterbuck"	"Oribi"	"Reedbuck"	"Buffalo"	"Nyala"	"Bushbuck"	"Kudu"
"Impala"	1	0.393	0.215	0.214	0.356	1.784	0.707	0.102	0.822	1.054	0.2
"Hartebeest"	2.545	1	0.546	0.545	0.906	4.541	1.799	0.259	2.092	2.684	0.51
"Wildebeest"	4.661	1.831	1	0.997	1.659	8.315	3.294	0.474	3.831	4.914	0.933
"Sable"	4.672	1.836	1.003	1	1.663	8.336	3.302	0.475	3.841	4.927	0.935
"Waterbuck"	2.809	1.104	0.603	0.601	1	5.011	1.985	0.286	2.309	2.962	0.562
"Oribi"	0.561	0.22	0.12	0.12	0.2	1	0.396	0.057	0.461	0.591	0.112
"Reedbuck"	1.415	0.556	0.304	0.303	0.504	2.524	1	0.144	1.163	1.492	0.283
"Buffalo"	9.837	3.865	2.111	2.105	3.502	17.549	6.952	1	8.086	10.373	1.969
"Nyala"	1.217	0.478	0.261	0.26	0.433	2.17	0.86	0.124	1	1.283	0.244
"Bushbuck"	0.948	0.373	0.203	0.203	0.338	1.692	0.67	0.096	0.78	1	0.19
"Kudu"	4.995	1.963	1.072	1.069	1.778	8.912	3.53	0.508	4.106	5.267	1
