""	"Impala"	"Hartebeest"	"Grevys_zebra"	"Plains_zebra"	"Waterbuck"	"Dik-dik"	"Grants_gazelle"	"Oryx"	"Klipspringer"	"Buffalo"	"Eland"	"Kudu"
"Impala"	1	0.211	0.181	0.245	0.327	5.65	0.779	0.319	2.522	0.155	0.107	0.205
"Hartebeest"	4.73	1	0.855	1.161	1.546	26.724	3.686	1.507	11.926	0.735	0.506	0.972
"Grevys_zebra"	5.529	1.169	1	1.357	1.807	31.243	4.309	1.762	13.943	0.859	0.591	1.136
"Plains_zebra"	4.074	0.861	0.737	1	1.331	23.021	3.175	1.298	10.273	0.633	0.436	0.837
"Waterbuck"	3.06	0.647	0.553	0.751	1	17.291	2.385	0.975	7.716	0.476	0.327	0.629
"Dik-dik"	0.177	0.037	0.032	0.043	0.058	1	0.138	0.056	0.446	0.028	0.019	0.036
"Grants_gazelle"	1.283	0.271	0.232	0.315	0.419	7.25	1	0.409	3.236	0.199	0.137	0.264
"Oryx"	3.138	0.663	0.568	0.77	1.025	17.731	2.446	1	7.913	0.488	0.336	0.645
"Klipspringer"	0.397	0.084	0.072	0.097	0.13	2.241	0.309	0.126	1	0.062	0.042	0.081
"Buffalo"	6.434	1.36	1.164	1.579	2.103	36.356	5.014	2.05	16.225	1	0.688	1.322
"Eland"	9.353	1.977	1.691	2.296	3.056	52.846	7.289	2.98	23.584	1.454	1	1.922
"Kudu"	4.867	1.029	0.88	1.195	1.591	27.502	3.793	1.551	12.273	0.756	0.52	1
