"Invader"	"Resident"	"N"	"F"	"RY"
"Impala"	"Impala"	0	0	0
"Hartebeest"	"Impala"	0.843599425778134	-0.152544522430983	-2.18023560034442
"Wildebeest"	"Impala"	0.838810960233268	0.232530323199791	-2.03624883742897
"Sable"	"Impala"	0.918734707633421	0.123524649629339	-2.18020095421648
"Waterbuck"	"Impala"	0.293766608400323	-0.281182789862746	-1.66195193331117
"Oribi"	"Impala"	0.223762666680163	-0.0130660844114003	-1.69030179127083
"Reedbuck"	"Impala"	0.313453892546303	0.147053831947396	-2.17814165243815
"Buffalo"	"Impala"	0.919250356677861	0.396855576494611	-2.19516004283319
"Nyala"	"Impala"	0.719193556167207	-0.656043210514648	-2.08043996157999
"Bushbuck"	"Impala"	0.180382618141381	-0.257668178778941	-0.710470018604755
"Kudu"	"Impala"	0.878034860404932	0.249359759695642	-2.10650208054833
"Impala"	"Hartebeest"	0.843599425778134	0.132354559378957	0.373693357631556
"Hartebeest"	"Hartebeest"	0	0	0
"Wildebeest"	"Hartebeest"	0.337715764640527	0.334108434109393	0.259754688764064
"Sable"	"Hartebeest"	0.435624664321555	0.239530158434164	0.508774115613991
"Waterbuck"	"Hartebeest"	0.49613570912529	-0.11161240622656	0.569583875862815
"Oribi"	"Hartebeest"	0.69671974217428	0.121017830812635	0.431857867966195
"Reedbuck"	"Hartebeest"	0.610921508033238	0.259945146193968	0.518077848118406
"Buffalo"	"Hartebeest"	0.806665718473192	0.476684490909541	0.39672861461853
"Nyala"	"Hartebeest"	0.733937419901694	-0.43685834107447	0.457881388322311
"Bushbuck"	"Hartebeest"	0.970658579331608	-0.0912100611317196	0.360069069625101
"Kudu"	"Hartebeest"	0.994497939369276	0.348710417953239	0.368347671346605
"Impala"	"Wildebeest"	0.838810960233268	-0.302983075721341	0.0517902571546139
"Hartebeest"	"Wildebeest"	0.337715764640527	-0.501746006742906	-0.186459840260049
"Wildebeest"	"Wildebeest"	0	0	0
"Sable"	"Wildebeest"	0.637138856997986	-0.142032547819904	-0.530705863765512
"Waterbuck"	"Wildebeest"	0.404432271386615	-0.669359492096609	-0.472454490697449
"Oribi"	"Wildebeest"	0.527184549316845	-0.320007962575343	-0.672473294221231
"Reedbuck"	"Wildebeest"	0.370363478985484	-0.111374421473914	-1.09880032371647
"Buffalo"	"Wildebeest"	0.900034507802882	0.214113023956773	-0.532147193224769
"Nyala"	"Wildebeest"	0.772522151735058	-1.15779627596382	0.146938087021784
"Bushbuck"	"Wildebeest"	0.996108962613065	-0.638720351822242	-0.693365802931473
"Kudu"	"Wildebeest"	0.998893272563903	0.021928470928021	-0.545267297279648
"Impala"	"Sable"	0.918734707633421	-0.140933398271954	0.342685255673472
"Hartebeest"	"Sable"	0.435624664321555	-0.314976538636907	0.509349688954467
"Wildebeest"	"Sable"	0.637138856997986	0.124368213577659	0.367048884611556
"Sable"	"Sable"	0	0	0
"Waterbuck"	"Sable"	0.666874003612117	-0.461744234245645	0.512413915719296
"Oribi"	"Sable"	0.887766440346925	-0.155840930361562	0.1397159494164
"Reedbuck"	"Sable"	0.781967715374684	0.0268452299407014	0.286010690031751
"Buffalo"	"Sable"	0.726373974160181	0.311852383241218	0.424505111035901
