"Invader"	"Resident"	"N"	"F"	"RY"
"Impala"	"Impala"	0	0	0
"Hartebeest"	"Impala"	0.880538603669615	0.379782879375651	-1.06177366518557
"Grevy's zebra"	"Impala"	0.633372960883111	0.277697318799376	-0.904355538764262
"Plains zebra"	"Impala"	0.85186532740698	0.439857658689597	-1.03659251743083
"Waterbuck"	"Impala"	0.538558612195419	-0.175985157448381	-0.88889900869249
"Dik-dik"	"Impala"	0.325203118178145	-0.0103834923411476	-1.16138925849078
"Grant's gazelle"	"Impala"	0.252281712737708	-0.241662541152682	-0.314382149310535
"Oryx"	"Impala"	0.349576959961511	-0.141041024600544	-1.09194471545457
"Klipspringer"	"Impala"	0.595316364522009	0.287310469277054	-1.05886477657423
"Buffalo"	"Impala"	0.648328331391838	0.077896735212474	-1.02321575298408
"Eland"	"Impala"	0.484800513193279	-0.150157442034388	-0.860290560003354
"Kudu"	"Impala"	0.458100435143991	0.229626395908039	-1.13261764437049
"Impala"	"Hartebeest"	0.880538603669614	-0.612338593609505	0.0761158350248635
"Hartebeest"	"Hartebeest"	0	0	0
"Grevy's zebra"	"Hartebeest"	0.600546622368617	-0.164596489167389	-0.0700722250116372
"Plains zebra"	"Hartebeest"	0.270077998188781	0.0968608851904496	-0.145085372162162
"Waterbuck"	"Hartebeest"	0.703957312024565	-0.896086254865976	0.370131135171063
"Dik-dik"	"Hartebeest"	0.919007711222	-0.629080299047587	0.00560497792135647
"Grant's gazelle"	"Hartebeest"	0.878705107101317	-1.00198043533972	0.266802089039367
"Oryx"	"Hartebeest"	0.694816485001202	-0.839744480855191	0.026545888072101
"Klipspringer"	"Hartebeest"	0.907295937237438	-0.149096835646053	-0.0229474692563863
"Buffalo"	"Hartebeest"	0.438097880941156	-0.486742681110253	-0.0210840257028825
"Eland"	"Hartebeest"	0.89988013704924	-0.854443232519233	0.178717819174368
"Kudu"	"Hartebeest"	0.969288269665531	-0.242103093375518	0.0159775227917331
"Impala"	"Grevy's zebra"	0.633372960883111	-0.384461149081965	0.193518111227066
"Hartebeest"	"Grevy's zebra"	0.600546622368617	0.141333492500106	0.594160653408759
"Grevy's zebra"	"Grevy's zebra"	0	0	0
"Plains zebra"	"Grevy's zebra"	0.385663225573166	0.224504690499938	0.556713618058157
"Waterbuck"	"Grevy's zebra"	0.686466024345011	-0.628105762384322	1.0233219089121
"Dik-dik"	"Grevy's zebra"	0.995825168419445	-0.398836690820074	0.769003584670071
"Grant's gazelle"	"Grevy's zebra"	0.76457527181837	-0.719033548496275	0.50079964318769
"Oryx"	"Grevy's zebra"	0.497235344185623	-0.579726968068133	0.370658687670773
"Klipspringer"	"Grevy's zebra"	0.991304291528391	0.0133090333566239	0.589369211455602
"Buffalo"	"Grevy's zebra"	0.380834369729236	-0.276616145539969	0.68888579094797
"Eland"	"Grevy's zebra"	0.986743584066906	-0.592348293824103	0.127921352334823
"Kudu"	"Grevy's zebra"	0.998654847743525	-0.066552325143571	0.669727355100337
"Impala"	"Plains zebra"	0.85186532740698	-0.785260506571579	-0.0267956982066771
"Hartebeest"	"Plains zebra"	0.270077998188781	-0.107249130950191	-0.347026798345801
"Grevy's zebra"	"Plains zebra"	0.385663225573166	-0.289498450538236	-0.167225552512822
"Plains zebra"	"Plains zebra"	0	0	0
"Waterbuck"	"Plains zebra"	0.702571331320251	-1.09943985790696	-0.524695661725159
"Dik-dik"	"Plains zebra"	0.978350335356062	-0.803797745368519	-0.38895030061157
"Grant's gazelle"	"Plains zebra"	0.885077599423184	-1.21669109720919	-0.757279559664388
"Oryx"	"Plains zebra"	0.598247729899981	-1.03705547759732	-0.623175830305179
"Klipspringer"	"Plains zebra"	0.973942542086777	-0.272336472646707	-0.331324670351181
"Buffalo"	"Plains zebra"	0.260851268420265	-0.646194541605886	-0.0324487692768768
"Eland"	"Plains zebra"	0.977468812248393	-1.05333065760338	-0.933907464825781
"Kudu"	"Plains zebra"	0.98992373085875	-0.375317570690587	-0.389855983808286
"Impala"	"Waterbuck"	0.538558612195419	0.149649131482432	1.19206838881171
"Hartebeest"	"Waterbuck"	0.703957312024565	0.47259783280762	1.26250796469019
"Grevy's zebra"	"Waterbuck"	0.686466024345011	0.385789287708482	1.33720740366403
"Plains zebra"	"Waterbuck"	0.702571331320251	0.523682473573235	1.27268788712551
"Waterbuck"	"Waterbuck"	0	0	0
"Dik-dik"	"Waterbuck"	0.451956466093981	0.140819519751892	1.08627387735823
"Grant's gazelle"	"Waterbuck"	0.760203284274608	-0.0558488202749132	0.728738671264365
"Oryx"	"Waterbuck"	0.666329875024555	0.0297147737167516	1.21193324695182
"Klipspringer"	"Waterbuck"	0.795842742426611	0.393963838566365	1.26354456640369
"Buffalo"	"Waterbuck"	0.659704824481498	0.215888687925043	1.28886197943851
"Eland"	"Waterbuck"	0.832874545844079	0.0219626202341136	1.04675646753848
"Kudu"	"Waterbuck"	0.400675166039702	0.344912136677392	1.1437542089647
"Impala"	"Dik-dik"	0.325203118178145	0.0102767834390168	-0.711505293464268
"Hartebeest"	"Dik-dik"	0.919007711222	0.386156716409478	-0.533853977321802
"Grevy's zebra"	"Dik-dik"	0.995825168419445	0.285120267031496	-0.66186061778967
"Plains zebra"	"Dik-dik"	0.978350335356062	0.445614120226268	-0.545046739081297
"Waterbuck"	"Dik-dik"	0.451956466093981	-0.163899812657786	0.235589813559418
"Dik-dik"	"Dik-dik"	0	0	0
"Grant's gazelle"	"Dik-dik"	0.359890268863759	-0.228902244112916	0.175814192295817
"Oryx"	"Dik-dik"	0.533519823081683	-0.129314793095691	-0.491886903940162
"Klipspringer"	"Dik-dik"	0.522275258349742	0.294634625243548	-0.523258251138065
"Buffalo"	"Dik-dik"	0.841657434395609	0.0873729907731059	-0.550240980445855
"Eland"	"Dik-dik"	0.478422413128401	-0.138337523081827	-0.310207325879536
"Kudu"	"Dik-dik"	0.383582986233905	0.237543358604427	-0.55796058655199
"Impala"	"Grant's gazelle"	0.252281712737708	0.194628196585795	1.11720470192031
"Hartebeest"	"Grant's gazelle"	0.878705107101317	0.500494619054403	1.4486643918833
