"Invader"	"Resident"	"N"	"F"	"RY"
"Impala"	"Impala"	0	0	0
"Hartebeest"	"Impala"	0.767005093949724	-0.139386998882982	0.281465419937936
"Wildebeest"	"Impala"	0.639785228784972	-0.279135280203473	0.353586862288079
"Topi"	"Impala"	0.747036429072634	-0.308877036637208	0.241065865869575
"Plains zebra"	"Impala"	0.79071658394727	0.383509368384766	0.292598039053157
"Thomson's gazelle"	"Impala"	0.924054059561879	0.088350141241088	0.286568913212979
"Grant's gazelle"	"Impala"	0.69561074165839	-0.510350949218895	0.503060909018647
"Buffalo"	"Impala"	0.597047305905444	-0.364410974537715	0.26298586630367
"Impala"	"Hartebeest"	0.767005093949724	0.122335079318645	0.0392863764206244
"Hartebeest"	"Hartebeest"	0	0	0
"Wildebeest"	"Hartebeest"	0.245374110308596	-0.122652164240504	0.190621314862295
"Topi"	"Hartebeest"	0.114447023062742	-0.148755460541842	0.989672577879847
"Plains zebra"	"Hartebeest"	0.176199611463957	0.458927798702617	-0.400053749190221
"Thomson's gazelle"	"Hartebeest"	0.809793086959411	0.199876899023191	0.0349332689468422
"Grant's gazelle"	"Hartebeest"	0.836410462332117	-0.325582046047212	0.293233536117025
"Buffalo"	"Hartebeest"	0.585166802967319	-0.197495649744414	0.116033693698029
"Impala"	"Wildebeest"	0.639785228784972	0.218221860129658	0.549307047913628
"Hartebeest"	"Wildebeest"	0.245374110308596	0.109252151420811	0.481261379111109
"Wildebeest"	"Wildebeest"	0	0	0
"Topi"	"Wildebeest"	0.201722367165295	-0.0232514550212417	0.726082050372909
"Plains zebra"	"Wildebeest"	0.286512865912381	0.51804110076835	0.361960824867044
"Thomson's gazelle"	"Wildebeest"	0.84068897582612	0.287292069206398	0.470182393642988
"Grant's gazelle"	"Wildebeest"	0.83803804861765	-0.180759355631753	0.171024691982466
"Buffalo"	"Wildebeest"	0.38875437281899	-0.0666666736927752	0.382856912169174
"Impala"	"Topi"	0.747036429072634	0.235986290530988	1.79656519752926
"Hartebeest"	"Topi"	0.114447023062742	0.129492712462648	1.83958708182412
"Wildebeest"	"Topi"	0.201722367165295	0.022723109659061	1.94942813137468
"Topi"	"Topi"	0	0	0
"Plains zebra"	"Topi"	0.137602645359602	0.528992705686751	0.872625456482697
"Thomson's gazelle"	"Topi"	0.85246259330211	0.303487009672703	1.81917640735643
"Grant's gazelle"	"Topi"	0.857532765455236	-0.153928831312771	1.61652577149142
"Buffalo"	"Topi"	0.473133552658468	-0.0424286898967885	1.73144005211432
"Impala"	"Plains zebra"	0.79071658394727	-0.622084665552749	-3.25260584456267
"Hartebeest"	"Plains zebra"	0.176199611463957	-0.848182179018252	-3.230783885761
"Wildebeest"	"Plains zebra"	0.286512865912381	-1.07486572318557	-3.16316662037382
"Topi"	"Plains zebra"	0.137602645359601	-1.12310937022334	-1.93997138900074
"Plains zebra"	"Plains zebra"	0	0	0
"Thomson's gazelle"	"Plains zebra"	0.871606512602628	-0.478773256246161	-3.24340562435321
"Grant's gazelle"	"Plains zebra"	0.896788470584856	-1.44991711433101	-3.24929712507757
"Buffalo"	"Plains zebra"	0.592633590552678	-1.21319011930951	-3.20400091312712
"Impala"	"Thomson's gazelle"	0.924054059561879	-0.0969123621226301	-0.0944012285601734
"Hartebeest"	"Thomson's gazelle"	0.809793086959411	-0.249807684316546	-0.040431010170349
"Wildebeest"	"Thomson's gazelle"	0.84068897582612	-0.403099301682384	0.00312654798069846
"Topi"	"Thomson's gazelle"	0.85246259330211	-0.435723401985787	-0.0580777368899313
"Plains zebra"	"Thomson's gazelle"	0.871606512602628	0.323763805048461	-0.0295876105937368
"Thomson's gazelle"	"Thomson's gazelle"	0	0	0
"Grant's gazelle"	"Thomson's gazelle"	0.407581563757447	-0.656722627341855	0.671756213158862
"Buffalo"	"Thomson's gazelle"	0.755970303888436	-0.496639264986204	-0.0156748317028857
"Impala"	"Grant's gazelle"	0.69561074165839	0.337902226951181	0.933227134613723
"Hartebeest"	"Grant's gazelle"	0.836410462332117	0.245614405398801	0.8816870385303
"Wildebeest"	"Grant's gazelle"	0.83803804861765	0.153087379549104	0.807340149324598
"Topi"	"Grant's gazelle"	0.857532765455236	0.133395428847768	0.787691199922408
"Plains zebra"	"Grant's gazelle"	0.896788470584856	0.591822925702094	0.880747208943419
"Thomson's gazelle"	"Grant's gazelle"	0.407581563757447	0.396398658715454	0.862044556770335
"Grant's gazelle"	"Grant's gazelle"	0	0	0
"Buffalo"	"Grant's gazelle"	0.497094937138668	0.0966265322352106	0.806980507827739
"Impala"	"Buffalo"	0.597047305905443	0.267082998699262	-0.141857410701729
"Hartebeest"	"Buffalo"	0.585166802967319	0.164923897457637	-0.178248843242346
"Wildebeest"	"Buffalo"	0.38875437281899	0.0625000061752909	-0.0234750888110984
"Topi"	"Buffalo"	0.473133552658468	0.0407017672364614	0.0979315506103498
"Plains zebra"	"Buffalo"	0.592633590552678	0.548163534946564	-0.0817756698611242
"Thomson's gazelle"	"Buffalo"	0.755970303888436	0.331836319282177	-0.16852706082979
"Grant's gazelle"	"Buffalo"	0.497094937138668	-0.106961888613236	0.323361501763268
"Buffalo"	"Buffalo"	0	0	0
