"Impala"	"Hartebeest"	"Grevys_zebra"	"Plains_zebra"	"Waterbuck"	"Dik-dik"	"Grants_gazelle"	"Oryx"	"Klipspringer"	"Buffalo"	"Eland"	"Kudu"
6.08333333333333	19.0833333333333	11.0833333333333	6.08333333333333	24.0833333333333	16.0833333333333	33.0833333333333	9.08333333333333	15.0833333333333	9.08333333333333	39.0833333333333	19.0833333333333
7.16666666666667	49.1666666666667	32.1666666666667	3.16666666666667	42.1666666666667	26.1666666666667	58.1666666666667	15.1666666666667	37.1666666666667	23.1666666666667	69.1666666666667	36.1666666666667
1.66666666666667	56.6666666666667	36.6666666666667	4.66666666666667	73.6666666666667	27.6666666666667	70.6666666666667	8.66666666666667	38.6666666666667	25.6666666666667	76.6666666666667	37.6666666666667
6	55	41	3	89	28	81	8	47	44	81	39
6	62	58	4	88	23	81	12	53	56	88	24
4	67	49	5	96	21	88	10	52	60	88	32
2	54	70	5	94	14	96	3	39	65	88	24
0	67	67	1	100	7	89	6	40	69	92	25
0	67	68	1	99	6	99	3	27	75	98	16
0	67	84	3	100	8	98	3	23	81	100	7
0	81	91	0	100	1	99	0	10	93	100	5
0	98	100	0	100	0	100	0	0	100	100	0
