Species	BM	Rmax	M	Sp1	Sp2	Sp3	Sp4	Sp5	Sp6	Sp7	Sp8	Sp9	Sp10	Sp11	Sp12	Sp13	Sp14	Sp15	Sp16	Sp17	Sp18	Sp19	Sp20	Sp21	Sp22	Sp23	Sp24	Sp25	Sp26	Sp27	Sp28	Sp29	Sp30	Sp31	Sp32	Sp33	Sp34	Sp35	Sp36	Sp37	Sp38	Sp39	Sp40	Sp41	Sp42	Sp43	Sp44	Sp45	Sp46	Sp47	Sp48	Sp49	Sp50	Sp51	Sp52	Sp53	Sp54	Sp55	Sp56	Sp57	Sp58	Sp59	Sp60	Sp61	Sp62	Sp63	Sp64	Sp65	Sp66	Sp67	Sp68	Sp69	Sp70	Sp71	Sp72	Sp73	Sp74	Sp75	Sp76	Sp77	Sp78	Sp79	Sp80	Sp81	Sp82	Sp83	Sp84	Sp85	Sp86	Sp87	Sp88	Sp89	Sp90	Sp91	Sp92	Sp93	Sp94	Sp95	Sp96	Sp97	Sp98	Sp99	Sp100	Sp101	Sp102	Sp103	Sp104	Sp105	Sp106	Sp107	Sp108	Sp109	Sp110	Sp111	Sp112	Sp113	Sp114	Sp115	Sp116	Sp117	Sp118	Sp119	Sp120	Sp121	Sp122	Sp123	Sp124	Sp125	Sp126	Sp127	Sp128	Sp129	Sp130	Sp131	Sp132	Sp133	Sp134	Sp135	Sp136	Sp137	Sp138	Sp139	Sp140	Sp141	Sp142	Sp143	Sp144
Impala	52.5	0.306	0.0563	0.000	0.001	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.003	0.000	0.004	0.000	0.000	0.000	0.005	0.000	0.002	0.002	0.000	0.000	0.000	0.000	0.009	0.002	0.000	0.000	0.000	0.004	0.004	0.000	0.002	0.002	0.000	0.016	0.013	0.000	0.001	0.001	0.006	0.020	0.000	0.013	0.006	0.000	0.003	0.000	0.003	0.000	0.000	0.001	0.000	0.040	0.000	0.001	0.005	0.000	0.000	0.000	0.000	0.005	0.012	0.007	0.000	0.013	0.001	0.010	0.003	0.024	0.006	0.001	0.000	0.006	0.007	0.000	0.038	0.033	0.000	0.009	0.014	0.017	0.029	0.000	0.000	0.022	0.006	0.011	0.000	0.000	0.094	0.000	0.082	0.029	0.015	0.010	0.036	0.256	0.029
Hartebeest	160.9	0.289	0.0500	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.009	0.000	0.030	0.025	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.004	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.025	0.009	0.092	0.002	0.000	0.037	0.001	0.000	0.000	0.003	0.145	0.005	0.004	0.000	0.002	0.060	0.000	0.001	0.000	0.000	0.000	0.124	0.097	0.195	0.010	0.087
Wildebeest	180.0	0.307	0.0465	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.001	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.006	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.002	0.014	0.000	0.000	0.006	0.005	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.000	0.004	0.000	0.000	0.000	0.007	0.000	0.003	0.000	0.006	0.005	0.000	0.000	0.007	0.003	0.003	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.049	0.076	0.348	0.002	0.416
Sable	236.4	0.272	0.0449	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.003	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.008	0.003	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.002	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.001	0.000	0.099	0.004	0.008	0.022	0.000	0.000	0.030	0.000	0.000	0.000	0.000	0.012	0.090	0.001	0.000	0.000	0.058	0.000	0.002	0.000	0.000	0.000	0.064	0.394	0.131	0.002	0.022
Waterbuck	204.4	0.281	0.0502	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.003	0.004	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.002	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.001	0.003	0.000	0.000	0.004	0.000	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.017	0.000	0.001	0.004	0.001	0.012	0.022	0.044	0.000	0.000	0.000	0.000	0.025	0.000	0.004	0.000	0.000	0.009	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.002	0.010	0.076	0.000	0.033	0.005	0.027	0.000	0.000	0.002	0.038	0.036	0.000	0.000	0.021	0.000	0.001	0.000	0.000	0.000	0.069	0.049	0.089	0.201	0.142
Oribi	17.2	0.496	0.0632	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.001	0.000	0.000	0.000	0.000	0.008	0.000	0.004	0.000	0.000	0.004	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.008	0.000	0.000	0.045	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.000	0.001	0.000	0.029	0.065	0.003	0.000	0.002	0.000	0.025	0.003	0.002	0.001	0.000	0.000	0.066	0.000	0.001	0.003	0.082	0.005	0.033	0.310	0.211
Reedbuck	58.1	0.332	0.0597	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.008	0.000	0.000	0.000	0.000	0.002	0.006	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.003	0.000	0.006	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.005	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.047	0.000	0.011	0.000	0.012	0.004	0.013	0.008	0.000	0.010	0.055	0.000	0.000	0.000	0.000	0.000	0.018	0.000	0.000	0.000	0.042	0.037	0.073	0.272	0.257
Buffalo	580.0	0.168	0.0339	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.004	0.006	0.016	0.000	0.000	0.000	0.008	0.000	0.000	0.000	0.000	0.010	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.031	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.019	0.048	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.001	0.026	0.000	0.000	0.000	0.000	0.037	0.001	0.005	0.000	0.079	0.000	0.000	0.439	0.000	0.000	0.069	0.106	0.025	0.026	0.010
Nyala	87.6	0.364	0.0625	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.005	0.000	0.002	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.007	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.009	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.001	0.000	0.004	0.000	0.000	0.003	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.011	0.000	0.006	0.000	0.000	0.000	0.005	0.000	0.007	0.000	0.015	0.050	0.022	0.009	0.007	0.028	0.038	0.000	0.034	0.000	0.000	0.000	0.046	0.003	0.045	0.000	0.045	0.109	0.000	0.000	0.131	0.015	0.070	0.000	0.000	0.000	0.000	0.061	0.064	0.022	0.012	0.081	0.001	0.000
Bushbuck	43.3	0.438	0.0769	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.002	0.002	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.003	0.000	0.004	0.000	0.000	0.000	0.001	0.002	0.003	0.005	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.008	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.017	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.002	0.002	0.003	0.000	0.000	0.002	0.000	0.000	0.030	0.012	0.000	0.032	0.012	0.002	0.002	0.000	0.047	0.006	0.000	0.022	0.000	0.000	0.000	0.012	0.000	0.000	0.008	0.121	0.008	0.000	0.000	0.047	0.006	0.029	0.000	0.000	0.092	0.000	0.193	0.032	0.001	0.000	0.000	0.206	0.000
