Species	BM	Rmax	M	Sp1	Sp2	Sp3	Sp4	Sp5	Sp6	Sp7	Sp8	Sp9	Sp10	Sp11	Sp12	Sp13	Sp14	Sp15	Sp16	Sp17	Sp18	Sp19	Sp20	Sp21	Sp22	Sp23	Sp24	Sp25	Sp26	Sp27	Sp28	Sp29	Sp30	Sp31	Sp32	Sp33	Sp34	Sp35	Sp36	Sp37	Sp38	Sp39	Sp40	Sp41	Sp42	Sp43	Sp44	Sp45	Sp46	Sp47	Sp48	Sp49	Sp50	Sp51	Sp52	Sp53	Sp54	Sp55	Sp56	Sp57	Sp58	Sp59	Sp60	Sp61	Sp62	Sp63	Sp64	Sp65	Sp66	Sp67	Sp68	Sp69	Sp70	Sp71	Sp72	Sp73	Sp74	Sp75	Sp76	Sp77	Sp78	Sp79	Sp80	Sp81	Sp82	Sp83	Sp84	Sp85	Sp86	Sp87	Sp88	Sp89	Sp90	Sp91	Sp92	Sp93	Sp94	Sp95	Sp96	Sp97	Sp98	Sp99	Sp100	Sp101	Sp102	Sp103	Sp104	Sp105	Sp106	Sp107	Sp108	Sp109	Sp110	Sp111	Sp112	Sp113	Sp114	Sp115	Sp116	Sp117	Sp118	Sp119	Sp120	Sp121
Impala	52.5	0.306	0.0563	0.017473833	0.00092016	0.035673271	0	0.137457547	0.110867294	0.012042699	0.133426505	0	0.000988524	0	0	0.005282196	0.002360908	0	0.000803589	0.073698007	0.000938256	0.002021147	0	0	0	0	0	0	0	0	0.04525747	0	0.012052916	0	0	0	0	0.002370837	0.00196866	0	0.000918207	0.002387042	0	0.001907107	0	0	0	0	0	0.002742341	0.006457255	0	0	0	0	0	0	0.004127692	0.001723399	0	0	0	0.010519375	0	0	0	0	0.022112187	0	0	0	0.105191331	0.002895153	0	0	0	0	0	0	0	0	0	0	0	0.03592698	0.011133106	0	0.01336781	0.100260244	0.001713444	0.009813607	0	0	0	0	0	0	0	0	0.001484007	0.000823656	0	0	0	0	0	0	0	0.010868453	0	0	0.004767445	0	0	0	0	0.005783568	0	0	0	0.028767567	0	0.018705206	0
Hartebeest	160.9	0.289	0.05	0	0	0.019744443	0	0.075306034	0	0.009868859	0.007398617	0.019182473	0	0	0	0	0	0	0	0	0.006112872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021272752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009964026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008993446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.542725578	0	0.00689646	0	0	0	0	0	0.094482876	0	0	0	0.037931146	0.140120416	0	0
Grevys_zebra	408	0.166824	0.0385	0	0	0.116486449	0.015411661	0.002368048	0.223227311	0	0	0.021006926	0	0	0	0.006233707	0	0.010922782	0	0	0.042991733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055017612	0	0	0	0	0	0	0	0.078272192	0.040217533	0	0.004488674	0	0	0	0	0	0	0.003837478	0.003722172	0	0	0.014608311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02012494	0	0	0	0	0	0	0	0	0	0	0	0	0.046854399	0	0	0	0	0	0	0	0	0.110120087	0	0	0	0	0	0	0	0.053750649	0	0	0	0.115089852	0.015247485	0	0
Plains_zebra	282.5	0.1476	0.0417	0	0	0.082376357	0.012929954	0.010218374	0.036994944	0	0	0.02030718	0	0	0	0.019838558	0	0.001609704	0	0	0.003220098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002510978	0	0	0	0	0	0.039036912	0	0	0	0	0	0	0	0.059837138	0.069904283	0	0	0	0	0	0	0	0	0	0	0	0	0.001383583	0	0	0	0.002999484	0	0	0	0	0	0	0	0	0	0	0	0	0.001178975	0	0	0	0	0	0.101086932	0	0.001969466	0	0.006185053	0	0	0.00611534	0	0	0	0	0	0.024138542	0	0	0	0	0	0.001777506	0	0	0.179393319	0	0	0	0	0	0	0	0.071727831	0	0.002377898	0	0.061268613	0.179612978	0	0
Waterbuck	204.4	0.281	0.0502	0.072100053	0.005421952	0.035376872	0	0.047036025	0.008301241	0	0.027292336	0.009114734	0	0	0.08846469	0.047838588	0.003938441	0.030169507	0	0	0.013215094	0	0	0.008637869	0	0	0	0	0.004620778	0	0	0	0	0	0	0.013030345	0	0	0.017491994	0	0	0	0	0	0	0	0	0	0	0.008988038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038232427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00549601	0	0.228538277	0	0	0	0	0	0	0	0	0	0	0.079737398	0	0	0	0	0	0	0	0	0.078771659	0	0	0	0	0	0	0	0.022148323	0.006354682	0.012051275	0	0.087631393	0	0	0
Dik-dik	4.6	0.581	0.0714	0.168004671	0	0	0	0.193055885	0	0.014675507	0.114603856	0	0.036660171	0	0	0	0	0	0.010201331	0	0	0	0	0.003049644	0	0.001362545	0	0	0.004634778	0	0	0	0.006936377	0.01371779	0	0	0	0	0.048051333	0.001143845	0	0	0	0.001810656	0	0	0.004600822	0.002179351	0	0	0	0.004929339	0	0	0	0	0	0	0	0	0	0	0	0	0.002965907	0	0.00531993	0.021272181	0	0	0.003722793	0.038369038	0.021873271	0	0.003460632	0	0	0	0	0	0	0	0	0.009155516	0.014504033	0	0	0.084109019	0.133152464	0.001886977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002821748	0	0	0	0	0	0	0.015104717	0	0.002676077	0	0.001754644	0	0	0.008233151	0	0	0	0	0
Grants_gazelle	55.5	0.455228	0.0789	0.093192395	0	0.057370012	0	0.118597294	0.080106069	0.009349599	0.289157117	0	0	0.01169607	0	0	0	0	0.001932186	0.017909907	0	0.00241983	0	0	0	0	0	0	0	0	0	0.040498264	0.023487282	0	0	0	0	0	0	0.007985245	0.02291414	0.002154409	0.012496514	0	0	0	0	0	0	0	0	0	0	0	0.002243829	0.002310947	0	0	0	0	0	0	0	0	0.038186653	0	0	0.011468115	0	0	0	0.042487327	0	0	0	0	0	0.005453691	0	0	0	0	0	0	0.043674144	0.010226915	0	0	0.005477159	0.00903001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022756873	0	0	0.012661694	0	0	0	0	0	0	0	0	0	0	0.002756309	0
Oryx	200.6	0.284	0.05	0.015183906	0	0.210153655	0.020279513	0.155071602	0.056045481	0.082370576	0.118125965	0.007294377	0	0	0	0.003574549	0	0	0.002453818	0.035772458	0.013573119	0	0	0	0	0	0	0	0	0	0	0.002087633	0	0	0	0.002737151	0	0	0	0	0	0.018179764	0	0	0	0	0	0	0	0	0.018307194	0	0	0	0	0	0.001558933	0	0	0	0	0	0	0	0	0	0	0.044491967	0	0	0	0.009878035	0	0	0	0	0	0	0	0	0	0	0	0	0.007137769	0.005873249	0	0	0.009614415	0.006076483	0	0	0	0	0	0	0	0	0	0.00242197	0	0	0	0	0	0	0	0	0.061510886	0	0	0.006682897	0	0	0	0	0.005456028	0	0	0	0.04949907	0.019610689	0.008976845	0
Klipspringer	13.5	0.330552	0.0561	0	0.005117041	0	0	0.217089543	0	0.085165851	0.010624858	0	0.031638645	0	0.000940872	0.008735837	0.017106502	0	0	0.000997156	0	0.001262528	0	0.00429604	0.012233701	0	0	0	0	0.008926723	0	0	0.05963015	0.001274441	0	0	0	0	0	0	0	0	0	0	0.00357416	0.030936063	0.009649653	0	0	0	0	0	0	0	0.001879049	0	0	0	0	0	0	0.014366161	0	0	0	0	0	0.013697276	0.000954305	0.007163059	0	0.004675465	0	0	0	0.027761977	0.190156686	0	0.008449406	0	0	0.004164189	0.001761481	0	0.002667124	0	0	0.002119165	0.037563826	0	0.003060033	0.003265742	0.007994058	0	0	0.024216974	0.031491435	0.007980556	0.00538323	0	0	0	0.002554542	0	0.001289333	0	0.003465793	0.000858344	0	0	0	0.001254487	0.066983323	0	0	0	0	0.00521045	0.004367889	0.000892578	0.003152299	0	0	0
Buffalo	580	0.168	0.0339	0	0	0.032499013	0	0.063921492	0.106776693	0.029790805	0.012437509	0.017857612	0	0	0	0.07437358	0	0	0	0	0	0.003051258	0	0	0	0	0.0044304	0	0	0	0.013144168	0	0	0	0	0.053429895	0.002715066	0	0	0	0	0.006421519	0	0	0	0	0	0	0	0.006165443	0	0	0	0	0	0	0.00746606	0	0	0.001663799	0.001742057	0	0	0	0	0.001465742	0	0.006083589	0	0	0.001527515	0	0	0	0	0	0	0	0	0.041704995	0	0	0	0	0	0.010305616	0.166305664	0	0.007465119	0	0	0	0	0	0	0	0	0	0	0.00305611	0	0	0	0	0.001510767	0	0	0	0.132716935	0	0	0.002404843	0	0	0	0	0.053580818	0	0.00206335	0	0.070562835	0.059321592	0	0.002038142
